taxon	tRNA-Leu	rps16	intergenic-spacer,-IGS	nepGS	18S-ribosomal-RNA	5.8S-rRNA	psbB	rps4	rpl14-rps8-infA-rpl36-intergenic-region	rpl32-trnL-intergenic-region	contains-psbA-gene-and-psbA-trnH-intergenic-spacer	rbcL	ndhF	atpB	rbcL.1	matK	trnV	
Ilex chapaensis											HQ415421				HQ415069	HQ415254		
Ilex viridis					AY925153	AY925158						AF471714						
Ilex cochinchinensis											HQ415423				HQ415071	HQ415256		
Ilex pubilimba						GQ434386					GQ434983				GQ436366			
Ilex suaveolens											HQ426984				HQ427139	HQ427293		
Ilex excelsa						JF976690									JF942001	JF954097		
Ilex polyneura						JF976693									JF942025	JF954115		
Ilex memecylifolia											HQ415417				HQ415065	HQ415252		
Discophora guianensis													AJ312964		JQ625904	JQ626375		
Ilex chinensis						JF976680					JN044935				JF941992	JF954086		
Ilex chamaedryfolia	FJ394736			FJ394813		FJ394665									FJ394594			
Ilex mucronata			AJ492892	FJ394867	FJ418161							AF471672						
Nemopanthus mucronatus	AJ275345					AJ275336								AJ235541	X69747			
Phyllonoma ruscifolia	AJ430964	AJ431090														AJ429377	AJ429724	
Ilex oppositifolia	AJ492598			FJ394873		AJ492685						AF471680			AJ492719			
Ilex laevigata	FJ394765			FJ394850		FJ394694						AF471657			FJ394623			
Ilex wallichii	FJ394788			FJ394905		FJ394720						AF471716			FJ394646			
Ilex georgei	FJ394756			FJ394837		FJ394685						AF471641			FJ394614			
Ilex quercetorum	FJ394778			FJ394882		FJ394709					EU359370				FJ394636			
Ilex havilandii	FJ394757			FJ394841		FJ394686						AF471643			FJ394615			
Ilex cyrtura	FJ394747			FJ394826		FJ394676						AF471614			FJ394605			
Ilex maingayi	FJ394768			FJ394859		FJ394697						AF471666			FJ394626			
Ilex sebertii	FJ394781			FJ394889		FJ394712						FJ418156			FJ394639			
Ilex nervulosa	FJ394772			FJ394869		FJ394701						AF471678			FJ394630			
Ilex cymosa	FJ394746			FJ394825		FJ394675						AF471621			FJ394604			
Ilex cassine	AJ492580			FJ394812		AJ492667						AF471605			AJ492704			
Ilex integerrima	AJ492577		AJ492885	FJ394844		AJ492664						AF471649						
Ilex arnhemensis	FJ394732			FJ394805		FJ394660						FJ418155			FJ394590			
Ilex anomala	AJ492567			FJ394802		AJ786505						AF471589			X98723			
Grisollea myrianthea		GQ984031					GQ983699	GQ983935					AJ312955				GQ984115	
Ilex bioritsensis	FJ394734			FJ394807		FJ394662					EU359311	AF471602			FJ394592			
Ilex microdonta	AJ492578		AJ492886	FJ394864		AJ492665						AF471665			AJ492702			
Ilex geniculata	FJ394755			FJ394836		FJ394684					EU359397	AF471638			FJ394613			
Ilex mertensii	FJ394770			FJ394862		FJ394699						AF471671			FJ394628			
Ilex hylonoma	FJ394759			FJ394843		FJ394688					EU359359	AF471646			FJ394617			
Ilex longipes	FJ394767			FJ394856		FJ394696					EU359320	AF471658			FJ394625			
Ilex ficoidea	FJ394753			FJ394834		FJ394682					HQ426979				FJ394611	HQ415253		
Ilex laurina	AJ492566			FJ394852		AJ492651						AF471660			AJ492731			
Ilex kingiana	FJ394763			FJ394848		FJ394692					EU359372	AF471652			FJ394621			
Ilex asperula	FJ394733			FJ394806		FJ394661					EU359310	AF471598			FJ394591			
Ilex tsoi	FJ394787			FJ394901		FJ394718					EU359377	AF471712			FJ394645			
Ilex kinabaluensis	FJ394762			FJ394847		FJ394691					EU359371	AF471653			FJ394620			
Ilex ciliospinosa	FJ394737			FJ394814		FJ394666					EU359317	X69742			FJ394595			
Ilex rubra	FJ394780			FJ394887		FJ394711					EU359346	AF471693			FJ394638			
Ilex fragilis	FJ394754			FJ394835		FJ394683					EU359392	AF471636			FJ394612			
Ilex pernyi	FJ394777			FJ394877		FJ394706					EU359319	X69744			FJ394635			
Ilex amelanchier	AJ275349		AJ492893	FJ394801		AJ275340						AF471593			X98722			
Ilex pseudobuxus	AJ492574		AJ492882	FJ394878		AJ492660						AF471688			X98736			
Ilex asprella					AY140220	JN407418					JN406922	AF471595			GQ436367	JN407082		
Ilex cumulicola	FJ394744			FJ394823		FJ394673					EU359390	AF471623			FJ394602			
Ilex corallina	FJ394740			FJ394818		FJ394669					EU359379	AF471619			FJ394598			
Ilex spicata	FJ394783			FJ394893		FJ394714					EU359366	AF471703			FJ394641			
Ilex discolor	FJ394749			FJ394829		FJ394678					EU359391	AF471629			FJ394607			
Ilex cissoidea	FJ394738			FJ394815		FJ394667					EU359376	AF471610			FJ394596			
Ilex hippocrateoides	AJ492572		AJ492880			AJ492658						AF471644			AJ492724			
Ilex guianensis	AJ492582		AJ492890	FJ394840		AJ492669						AF471642			AJ492705			
Ilex macrocarpa	AJ492602			FJ394857		AJ492689					EU359345	AF471663			AJ492727			
Ilex zhejiangensis	FJ394796			FJ394913		FJ394727					EU359355	AF471725			FJ394654			
Ilex dugesii	FJ394750			FJ394830		FJ394679					EU359358	AF471627			FJ394608			
Ilex nothofagifolia	FJ394774			FJ394871		FJ394703					EU359368	AF471708			FJ394632			
Ilex tolucana	FJ394786			FJ394899		FJ394717					EU359394	AF471710			FJ394644			
Ilex zygophylla	FJ394797			FJ394914		FJ394728					EU359351	AF471726			FJ394655			
Ilex vomitoria	AJ492568		AJ492877	FJ394903		AF174625						AF471715			AF119184			
Ilex spinigera	FJ394784			FJ394894		FJ394715					EU359349	AF471700			FJ394642			
Ilex fargesii	FJ394751			FJ394832		FJ394681					EU359381	AF471633			FJ394609			
Ilex montana	FJ394771			FJ394866		FJ394700					EU359365	AF471676			FJ394629			
Ilex yunnanensis	AJ275346		AJ492891	FJ394911		FJ394726						AF471724			FJ394653			
Ilex coriacea	FJ394741			FJ394819		FJ394670					EU359389	AF471609			FJ394599			
Ilex brevicuspis	AJ492576		AJ492884	FJ394809		AJ786507						AF471603			X98719			
Ilex goshiensis	AJ492600		AJ492914	FJ394839		AJ492687						AF471640			X98734			
Ilex amara	FJ394730			FJ394800		FJ394657					EU359360	AF471597			FJ394588			
Ilex kusanoi	FJ394764			FJ394849		FJ394693					EU359350	AF471654			FJ394622			
Ilex colchica	FJ394739			FJ394816		FJ394668					EU359314	AF471617			FJ394597			
Ilex hookeri	FJ394758			FJ394842		FJ394687					EU359395	AF471645			FJ394616			
Ilex nitida	FJ394773			FJ394870		FJ394702					EU359393	AF471677			FJ394631			
Cardiopteris quinqueloba	AJ430898	AJ431021											AJ312963		AJ402936	AJ429310	AJ429665	
Ilex buergeri	FJ394735			FJ394810		FJ394663					EU359334	AF471601			FJ394593			
Ilex shennongjiaensis	AJ492583		AJ492894	FJ394891		AJ492670					EU359375	AF471701			AJ492707			
Ilex mutchagara	AJ492587		AJ492898	FJ394868		AJ492674						AF471673			AJ492712			
Ilex dimorphophylla	FJ394748			FJ394828		FJ394677					EU359315	AF471628			FJ394606			
Ilex dumosa	AJ492571		AJ492879	FJ394831		AJ492656					EU359316	AF471630			X98725			
Ilex warburgii	FJ394790			FJ394906		FJ394721					EU359396	AF471718			FJ394648			
Ilex maximowicziana	AJ492591		AJ492903	FJ394861		AJ492678						AF471674			AJ492715			
Ilex sugerokii	AJ492584		AJ492895	FJ394895		AJ492671						AF471702			AJ492709			
Ilex aculeolata	FJ394729			FJ394799		FJ394656					EU359388	AF471590			FJ394587	JF954081		
Ilex decidua	AJ492593		AJ492905	FJ394827		AF174624					EU359333	AF471626			X98724			
Ilex leucoclada	AJ492603		AJ492917	FJ394853		AJ492690					EU359362	AF471656			AJ492728			
Ilex mitis	AJ275347		AJ492913	FJ394865	FJ418160	AJ275338						AF471667			X98730			
Ilex liebmannii	AJ492573		AJ492881	FJ394854		AJ492659					EU359363	AF471659			AJ492700			
Ilex wilsonii	FJ394791			FJ394907		FJ394722					HQ426985	AF471717			FJ394649	HQ427294		
Ilex matanoana	FJ394769			FJ394860		FJ394698					EU359364	AF471669			FJ394627			
Ilex theezans	FJ394785		AJ492887	FJ394897		AJ492666					EU359352	AF471709			AJ492703			
Ilex canariensis	AJ275348		AJ492875	FJ394811		AJ275339					EU359361	AJ786546			X98727			
Ilex brasiliensis	AJ492575		AJ492883	FJ394808		AJ492661					EU359357	AF471600			X98735			
Ilex triflora	AJ492588		AJ492899	FJ394900		AJ492675					EU359348	AF471711			AJ492713			
Ilex liukiuensis	FJ394766			FJ394855		FJ394695					EU359380	AF471661			FJ394624			
Ilex revoluta	AJ492589		AJ492900	FJ394884		AJ492676					EU359384	AF471699			AJ492714			
Ilex perado	AJ492606		AJ492920	FJ394876		AJ492693					EU359347	AJ786524			X98729			
Ilex teratopis	AJ492564		AJ492874	FJ394896		AJ492649						AF471707			AJ492695			
Ilex collina	AJ492592		AJ492904	FJ394817		AF200586					EU359369	AF471615			AJ492716			
Citronella suaveolens	GQ984050	GQ984030					GQ983733	GQ983882						GQ983606		GQ983648	GQ984125	
Ilex pubescens	AJ492599		AJ492912	FJ394879		AJ492686					HQ426982	AF471689			AJ492722	HQ427291		
Ilex integra	FJ394761	AB178615		FJ394846		FJ394689					EU359336	AF471651			FJ394619			
Ilex glabra	AJ275351		AJ492911	FJ394838		AJ275342					EU359338	AF471639			AJ492721			
Ilex pedunculosa	AJ275350		AJ492901	FJ394875		AJ275341					EU359341	AF471682			X98728			
Ilex argentina	AJ492570		AJ492878	FJ394804		AJ492655					EU359339	AF471592			AJ492699			
Ilex rugosa	AJ492605		AJ492919	FJ394888		AJ492692					EU359386	AF471698			X98733			
Ilex purpurea	AJ492586		AJ492897	FJ394881		FJ394708					HQ426983	AF471681			AJ492711	HQ427292		
Ilex serrata	AJ492595		AJ492907	FJ394890		AJ492682					EU359343	AF471704			AJ492718			
Ilex macropoda	AJ492601		AJ492915	FJ394858		EU647659					EU359344	AF471662			AJ492726			
Ilex verticillata	AJ492594		AJ492906	FJ394902		AJ492681					EU359326	AF471713			AJ492717			
Ilex micrococca	AJ492597		AJ492909	FJ394863		AJ492684					HQ426981	AF471670			X98721	JF954107		
Gomphandra javanica	GQ984063						GQ983741	GQ983924					GQ983663	GQ983598	AJ402954	GQ983651	GQ984095	
Irvingbaileya australis		GQ984022					GQ983782	GQ983880					AJ236255	AJ236219	AF156733		GQ984084	
Ilex aquifolium	AM397182			FJ394803	FJ418158	FJ394658					FJ395543	X69741			FJ394589	HE967420		
Ilex repanda	AJ492569			FJ394883		AJ492654					EU359373	AF471694	AY725870	AY725920	AY725859			
Ilex rotunda	AJ492596	AB178613	AJ492908	FJ394886	AY140229	AJ492683					HQ415422	AF471692			FJ394637	JN407087		
Helwingia japonica	AJ275344	AJ431089				AJ275343						X94941	AF130207	AF209596	L11226	AJ430195	AJ429723	
Gonocaryum litorale	GQ984057						GQ983783	GQ983949					AJ400889	AJ400883	AJ235779	GQ983654	GQ984078	
Ilex paraguariensis	FJ394776			FJ394874		FJ394705				FR849983	GQ248322	AF471684			FJ394634	GQ248141		
Ilex crenata	AJ492590		AJ492902	FJ394822		AJ492677	GQ983747	GQ983972			EU359312	X91003	AF130206	AJ235502	L01928			
Ilex latifolia	AJ492604		AJ492918	FJ394851	AY140227	DQ200798			FR849937	FR849984	JN044950	AF471655			X98731	JF954103		
Ilex opaca	FJ394775			FJ394872		FJ394704					GQ248321	AF471679			FJ394633	GQ248140		
Ilex kaushue									FR849939	FR849986	JN044946				JF942007	JF954101		
Ilex pentagona									FR849943	FR849991	JN044953				JF942019	JF954110		
Ilex cornuta	FJ394743	GQ997365		FJ394821	FJ418159	FJ394671	GQ997333	GQ997370	FR849938	FR849989	JN044938	AF471624	GQ997315	GQ997300	FJ394601	GQ997309		
