taxon	26S-large-subunit-ribosomal-RNA	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	5.8S-ribosomal-RNA	psbA-trnH-intergenic-spacer	rbcL	rpl16	rps16	matK	rps16.1	rpoC1	18S-ribosomal-RNA	
Xanthosia atkinsoniana		GQ244167				GQ243896			AF110606			
Heteromorpha pubescens			DQ368855	HQ829360					AF110580			
Heteromorpha involucrata			DQ368851						AF110577		DQ368853	
Anginon verticillatum			DQ368828				AF110574		AY838404			
Anginon pumilum			DQ368821				AY838399		AY838398			
Xanthosia pilosa		GQ244168			DQ133824	GQ243897			DQ133889			
Anginon swellendamense			DQ368824	JQ937323			AY838402		AY838401			
Mackinlaya macrosciadia	AY189083	GQ244158			U50247	GQ243887		U58613				
Centella erecta	AY189054				U50233			U58599	AF110602	U36286		
Hermas villosa		GQ244273			AM234819	GQ244002			DQ133865		AM748815	
Mackinlaya confusa	AY189082	GQ244157			AY188426	GQ243886		AF271741	GQ983990			
Actinotus helianthi	AY189029	GQ244150			DQ133797	GQ243879		AF271760	DQ133826			
Anginon difforme		GQ244178	AF459742			GQ243907	AY838392		AY838391			
Anginon paniculatum		GQ244179	DQ368819	JQ937324		GQ243908	AY838397		DQ832487		AF467922	
Anginon rugosum	AY189032	GQ244180	DQ368823		U50222	AF094444	AF110573		AY838400	U72457		
Centella asiatica		GQ244153			JQ025030	GQ243882		GQ434230	AF110603	U72465	JQ247225	
Heteromorpha arborescens				EU213838	JF265470	AF094446	DQ133866		FM986494	U36294		
Steganotaenia araliacea		GQ244215		EU213856	JQ025095	GQ243944	AF110595		AY838443		EU169016	
