taxon	18S-ribosomal-RNA	PI	PI.1	trnS-trnG-intergenic-spacer	rps16	contains-partial-psbA-gene,-psbA-trnH-intergenic-spacer-and-partial-trnH-gene	trnF	atpE	contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)-gene	contains-trnL-rpl32-intergenic-spacer-and-partial-rpl32-gene	unknown	rpoC1	26S-ribosomal-RNA	5.8S-ribosomal-RNA	matK	26S-ribosomal-RNA.1	psbA	matK.1	ndhA	rpoB	atpB	ndhF	rbcL	
Cardiandra amamiohsimensis				AB236039											AB236024								AB236032	
Cardiandra formosana				AB236042											AB236027								AB236035	
Cardiandra moellendorffii						HE983385									GU217270				HE983585					
Philadelphus hirsutus															U96881	AY260036							AF323193	
Cornus pumila											GU001662			DQ340514	DQ340469									
Cornus amomum											GU001655			DQ343134	DQ340453									
Cornus alsophila			EU447712											DQ340488	DQ340452									
Cornus obliqua														DQ340508	U96898								L11217	
Hydrangea davidii						HM216974									JF954070								JF941960	
Alangium ridleyi							FJ610053							FJ610030	FJ644649									
Alangium faberi							FJ610045							FJ610022	FJ644645									
Alangium kwangsiense							FJ610044							FJ610021	FJ644644									
Alangium villosum							FJ610051							FJ610028	FJ644647									
Alangium griffithii							FJ610049							FJ610026	FJ644646									
Alangium longiflorum							FJ610031							FJ610000	FJ644638									
Deutzia ningpoensis				FJ185220		FJ185219			FJ185218															
Deutzia glauca				FJ464415		FJ464413			FJ464414															
Grubbia rosmarinifolia								AJ429637	AJ430867						AJ429276							AJ429104		
Cornus elliptica			EU447685								GU001656			JQ910005	DQ341341									
Cornus alba			EU447713								GU001654			DQ340484	DQ340450									
Hydrangea heteromalla						HM216975								JF976655	GU217275								JF941962	
Hydrangea hirta						HM216976			AY254248						AY254065								AB755675	
Philadelphus lewisii	AJ235984															AF389252					AJ236231	AJ236254	L11198	
Philadelphus inodorus	L15198						JF321188						L16524		JF308693		JF321263							
Cornus macrophylla		EU439933							JN102170					DQ340503	U96895			DQ340461						
Cornus multinervosa														DQ340556	DQ341346	DQ340442					EU373570	EU373592	DQ340448	
Nyssa aquatica				EU734527	EU734473	EU734455			EU734491	EU734509				EU734437										
Mastixia euonymoides							JF321157								JF308674		JF321232				JF298832	JF321069	JF308650	
Mastixia pentandra							JF321156								JF308673	AY260016	JF321231				JF298831	JF321068		
Kirengeshoma koreana									JQ399980						GU369712		JQ399988				JQ399960	JQ399972	JQ399976	
Grubbia tomentosa							JF321165								AF323184	AY260020	JF321240				JF298839	AJ400890	Z83141	
Broussaisia arguta							JF321172								JF308681	AY260039	JF321246				JF298845	AJ400891	AF323188	
Philadelphus californicus							JF321190								JF308695	JF321117	JF321265				JF298857	JF321092	JF308662	
Philadelphus mexicanus							JF321189								JF308694	JF321116	JF321264				JF298856	JF321091	JF308661	
Cornus volkensii							JF321148							AY530919	AY526240	AF297542					EU373565	EU373588	AY530927	
Hydrangea petiolaris					AB237317	HM216986			JN226773					GU983032	AB754589								AB755677	
Hydrangea xanthoneura						EF590703						GQ248956			GQ248139					GQ248794			GQ248623	
Fendlerella utahensis							JF321182								GU369709	AY260035	JF321257				AJ400885	JF321086	AF323198	
Deutzia scabra							JF321176								JF308685	JF321107	JF321251				JF298847	JF321081	JF308656	
Deutzia setchuenensis							JF321178								JF308687	JF321109	JF321253				JF298849	JF321083	JF308658	
Deutzia corymbosa							JF321177								JF308686	JF321108	JF321252				JF298848	JF321082	JF308657	
Mastixia caudatilimba							JF321158								U96887	AY260015	JF321233				JF298833	JF321070	L11227	
Whipplea modesta							JF321191								JF308696	JF321118	JF321266				JF298858	AJ400894	AF323199	
Swida controversa							JF321139		JN102153						U96893	AF297541	JF321213				EU373561	EU373582	AF190433	
Cornus sessilis							JF321145							AY530923	U96900	AF297537	JF321219				EU373564	EU373587	AY530928	
Cornus peruviana							JF321140							DQ340512	DQ340467	DQ340438	JF321214				EU373559	EU373580	DQ340444	
Hydrangea peruviana						HM216985	JF321185								JF308703	JF321115	JF321260				JF298853	JF321090	AF323204	
Hydrangea bretschneideri						HM216969	JF321186								JF308690	JF321112	JF321261				JF298854	JF321087	JF308659	
Jamesia americana						HM216998	JF321192								JF308697	AY260042	JF321267				JF298859	JF321093	AF323201	
Nyssa shangszeensis				EU734530	EU734476	JN045588			EU734493	EU734512				JF977168	JQ280863								JQ280831	
Nyssa shweliensis				EU734537	EU734484	JQ280804			EU734502	EU734520				EU734448	JQ280868								JQ280836	
Nyssa wenshanensis				EU734535	EU734482	EU734464			EU734500	EU734518				JQ280762	JQ280859								JQ280827	
Nyssa javanica				EU734540	EU734486	EU734468			EU734504	EU734522				EU734449	JQ280873								JQ280843	
Nyssa ogeche	U52032						JF321163								U96886	AF297545	JF321238				JF298837	AJ236266	L01937	
Deutzia rubens							JF321175		AY285691						U96884	AY260034	JF321250				AJ400886	AJ400892	AF323196	
Cardiandra alternifolia				AB236038		HM216959	JF321204								JF308682	AY260040	JF321247				JF298846	JF321080	AB236031	
Cornus hongkongensis							JF321137							JQ910010	DQ341342	DQ340441	JF321211	DQ341344			EU373572	EU373594	DQ340447	
Cornus oligophlebia							JF321136							DQ340510	DQ340463	DQ340437	JF321210	DQ340464			EU373558	EU373579	DQ340443	
Cornus sanguinea		EU439928				FJ395509						FJ395811		DQ340517	JN894343			DQ340472		FJ395681			FJ395589	
Alangium salviifolium							JF321153							FJ610002	JF308672	JF321102	JF321228				JF298828	JF321066	JF308648	
Carpenteria californica	AJ235992					HM216960	JF321173								JF308683	JF321105	JF321248				AJ235426	AF130217	L11177	
Nyssa yunnanensis				EU734541	EU734488	EU734470			EU734506	EU734524				JQ280776	JQ280872								AF384106	
Cornus disciflora			EU447688				JF321134							DQ343143	DQ341350	AY260011	JF321208	AY526238			EU373566	EU373589	AY530929	
Cornus eydeana							JF321146				GU001658			AY243787	AY243875	AY248757	JF321220				EU373562	EU373585	AY243874	
Cornus walteri			EU447716				JF321141							AY530916	AY526239	AF297540	JF321215	DQ340478			EU373556	EU373577	L11220	
Kirengeshoma palmata				EU701059		EU701049	JF321193		EU701021						JQ399971	JF321119	JF321268				JQ399965	AJ400896	JQ399975	
Cornus oblonga			EU447719				JF321143							AY530917	U96899	AF297539	JF321217	DQ341332			EU373555	EU373576	L11218	
Cornus kousa			EU447682				JF321133		JN102143		GU001660					AF297533	JF321207				EU373569	EU373591	L14395	
Cornus rugosa						EU750451						EU750213		DQ340516	EU749302			DQ340471		EU749073			EU676910	
Cornus capitata							JF321135				GU001657			AY530915	U96891	AY530924	JF321209	DQ341340			EU373571	EU373593	AY530926	
Alangium platanifolium							FJ610035							FJ610006	U96880	AF297544	JF321229	FJ644640			JF298829	AF130221	JF308649	
Alangium chinense	AF206843						JF321152							FJ610011	FJ644642	AY260008	JF321227	JF308671			JF298827	JF321065	L11209	
Alangium kurzii						HQ426974	FJ610041							FJ610018	HQ427284	AY260007	JF321226	DQ341347			JF298826	JF321064	AF384108	
Schizophragma hydrangeoides						HM217001	JF321196		JN226779					GU983038	GU217281	AF297543	JF321271				JF298863	JF321095	AF323189	
Curtisia dentata	L16007														U96901	AY260012	JF321239				JF298838	JF321074	L11222	
Cornus nuttallii					FJ541998	FJ541997	JF321132							DQ340538	U96897	DQ340440	JF321205				EU373568	EU373590	AF006833	
Cornus unalaschkensis		EU439929					JF321151							DQ343142	DQ341336	AF297534	JF321225				EU373575	EU373596	EU373597	
Cornus officinalis	U52033		EU447705			GQ435328	JF321147				GU001661			AY530921		AF297536	JF321222				AJ236229	EU373584	GQ436648	
Cornus chinensis			EU447703				JF321144							AY530922	U96892	AY530925	JF321218	DQ340482			EU373563	EU373586	L11214	
Hydrangea sargentiana					HE983418	HE983398				HE983578					GU217293				HE983598					
Hydrangea angustipetala					HE983408	HE983388				HE983568					GU217336				HE983588					
Hydrangea integrifolia					HE983412	HE983392				HE983572					GU217302				HE983592					
Hydrangea involucrata					HE983413	HE983393				HE983573					GU217290				HE983593					
Schizophragma molle					HE983423	HE983403				HE983583					GU217279				HE983603					
Philadelphus pekinensis					HE983404	HE983384			AY285737	HE983564					GU217268				HE983584					
Cornus canadensis		EU439931					JF321150		GQ244822					AY530913	U96890	AF297530	JF321224	DQ341333			EU373573	EU373595	L01898	
Hydrangea seemannii					HE983419	HE983399				HE983579					GU217303				HE983599					
Hydrangea quercifolia					HE983417	EF694837				HE983577					GU217284				HE983597				AF323203	
Cornus suecica							JF321149		GQ244825					DQ340531	DQ341334	AF297531	JF321223				EU373574	AF421042	AF421085	
Camptotheca acuminata	U42789			EU734526	EU734472	EU734454	JF321159		EU734490	EU734508				JQ280786	JQ280882	AY260010	JF321234				JF298834	JF321071	JQ280850	
Nyssa sinensis				EU734534	EU734480	EU734462	JF321162		EU734496	EU734516				JF977169	JQ280856	JF321103	JF321237				JF298836	JF321073	JF308651	
Hydrangea aspera					AJ430990	HE983391		AJ429638		HE983571				JF976654	AJ429277				HE983591				JF941959	
Hydrangea anomala					HE983409	JN044921				HE983569				JF976650	GU369710				HE983589				AF323202	
Hydrangea luteovenosa					HE983414	HE983394			JN226775	HE983574				GU983034	GU217329				HE983594				AB755676	
Hydrangea paniculata				AB236044	AB237321	HE983396			X85796	HE983576					AB236029				HE983596				AB236036	
Platycrater arguta					HE983421	HM217000	JF321195			HE983581					GU369714	AY260033	JF321270		HE983601		JF298862	AJ400895	AF323190	
Pileostegia viburnoides					HE983422	HM216999	JF321194			HE983582					GU369713	JF321120	JF321269		HE983602		JF298861	JF321094	AF323185	
Deinanthe bifida				AB236043	HE983405	HM216962	JF321179			HE983565					AB236028	JF321110	JF321254				JF298850	JF321084	AF323192	
Cornus sericea						EU750455			GQ244824		GU001664	EU750217		DQ343139	EU749307	AY727930		EU749305		EU749077	AY725918	AY725868	AY725857	
Cornus racemosa	X16602					EU750449	JF321142				GU001663	EU750211		DQ343137	EU749300	AF297538	JF321216	DQ340470		EU749071	EU373557	EU373578	DQ340445	
Hydrangea serrata					HE983420	HE983400	JF321187		JN226776	HE983580					AB754583	JF321113	JF321262		HE983600		JF298855	JF321088	AB755674	
Decumaria barbara	AJ235985				HE983406	HM216961	JF321174			HE983566					GU369707	JF321106	JF321249		HE983586		AJ236233	AJ236252	AF206760	
Davidia involucrata	AJ235991			EU734525	EU734471	JQ280812	JF321160		EU734489	EU734507				EU734435	U96885	AY260013	HM100346				HM100288	AJ236265	L11223	
Cornus alternifolia			EU447710			EU750447	JF321138				GU001652	EU750209		DQ340526	EU749298	DQ340439	JF321212	U96889		EU749069	EU373560	EU373581	AF190432	
Cornus mas		EU439934	EU447707		AJ430988		JF321203	AJ429636	AJ430866		GU001653			AY530920	AY042573	AF297535	JF321221	AJ429275			AJ235444	EU373583	L11216	
Dichroa febrifuga					HE983407	HM216963	JF321180			HE983567		GQ436056		FJ980367	JF308688	JF321111	JF321255		HE983587		JF298851	JF321085	AF323187	
Nyssa sylvatica	X16603			EU734528	EU734474	JN045594	JF321161		EU734492	EU734510				EU734438	JQ280853	AY260018	JF321236				AJ235545	JF321072	AF119178	
Cornus florida	X17370	EU439926	EU447690		GQ998132				AY254238		GU001665		L16519			AF297532	JF321206				EU002157	EU002215	L11215	
Hydrangea arborescens					HE983410	HM216966	JF321184			HE983570				DQ006012	JF308692	AY260032	JF321259		HE983590		JF298852	JF321089	AF323186	
Hydrangea macrophylla	U42781			AB236045	HE983415	GQ248319	JF321183			HE983575		GQ248955	L16522		AB236030	JF321114	JF321258		HE983595	EF590453	AJ235497	AF130218	AB755637	
