taxon	18S-ribosomal-RNA	rps4	rpoC2	atpB	ndhF	rbcL	matK	tRNA-Leu	rps16	
Escallonia pulverulenta				AJ419687	AJ419708	AJ419696				
Escallonia myrtoidea				AJ419686	AJ419707	AJ419695				
Escallonia illinita				AJ419685	AJ419706	AJ419694				
Escallonia calcottiae				AJ419684	AJ419705	AJ419693				
Escallonia coquimbensis	U42544	GQ983943	GQ983838			L11183				
Escallonia resinosa	L15199			AJ419688	AJ419709	AJ419697				
Tribeles australis					AJ429123	AJ403010	AJ429369	AJ430955	AJ431080	
Escallonia rubra				AJ318974	AJ277383	AJ419692	AJ429365	AJ430952	AJ431076	
Polyosma cunninghamii				AJ419680	AJ419702	AF299091	AJ429368	AJ430954	AJ431079	
Anopterus macleayanus		GQ983946	GQ983874	AJ318964	AJ292984	Y10673	GQ983639	GQ984061	GQ984023	
Valdivia gayana		GQ983979		AJ419682	AJ419703	AJ575924	GQ983642	GQ984052	GQ984039	
Eremosyne pectinata	U42807	GQ983945		AJ236215	AJ429120	L47969	AJ429364	AJ430951	AJ431075	
Forgesia racemosa		GQ983913	GQ983789	AJ419678	AJ419701	AJ575923	GQ983661	GQ984041	GQ984036	
