taxon	matK	trnL	DIV3B	unknown	LFY	rbcL	atpF	rpoC1	trnS-trnG-intergenic-spacer	CYC2A	rpoB-trnC-intergenic-spacer	CYC2B	psbM-trnD-intergenic-spacer	psbA	atpB-rbcL-intergenic-spacer	
Lonicera heteroloba									FJ217890	AY851202		AY851203				
Lonicera implexa				FJ217861	GU269255				FJ217897							
Lonicera arizonica				FJ217881	GU269260				FJ217934							
Lonicera subspicata				FJ217843	GU269265				FJ217915							
Lonicera webbiana	JF954403					JF942316								JN045264		
Lonicera albiflora				FJ217862	GU269257	JN796941			FJ217893							
Lonicera reticulata			FJ805331		GU269258	AJ420870				AY851204						
Lonicera canadensis	HQ593349					HQ590165	HQ594763	HQ594046						HQ596755		
Lonicera gynochlamydea				FJ217869					EU265351		EU265479		EU265414		EU265542	
Lonicera ruprechtiana				EF611054					FJ217905		EU265514		EU265450		EU265578	
Lonicera nitida				EU240717					EU265383		EU265511		EU265447		EU265575	
Lonicera similis	HM228463	HM228593		FJ372926		HM228507								HM228549		
Lonicera hemsleyana				FJ217826					FJ217903		EU265480		EU265416		EU265544	
Lonicera inconspicua				FJ217867					EU265357		EU265485		EU265421		EU265549	
Lonicera gracilipes				FJ217857					EU265348		EU265476		EU265412		EU265540	
Lonicera pileata				EU240702					FJ217926		EU265496		EU265432		EU265560	
Lonicera syringantha				EF611053					EU265388		EU265516		EU265452		EU265580	
Lonicera sovetkinae				FJ217864					EU265372		EU265500		EU265436		EU265564	
Lonicera subsessilis				EU240721					FJ217922		EU265515		EU265451		EU265579	
Lonicera spinosa				FJ217870					EU265373		EU265501		EU265437		EU265565	
Lonicera iberica				EU240690					EU265356		EU265484		EU265420		EU265548	
Lonicera modesta				FJ217835					EU265382		EU265510		EU265446		EU265574	
Lonicera giraldii				EU240694					FJ217908		EU265488		EU265424		EU265552	
Lonicera deflexicalyx				EU240678					FJ217888		EU265472		EU265408		EU265536	
Lonicera calcarata				EU240674					EU265340		EU265468		EU265404		EU265532	
Lonicera myrtillus				FJ217856					FJ217894		EU265492		EU265428		EU265556	
Lonicera ferdinandi				FJ217858					EU265346		EU265474		EU265410		EU265538	
Lonicera koehneana				FJ217853					FJ217914		EU265509		EU265449		EU265577	
Lonicera vesicaria				FJ217877					EU265378		EU265506		EU265442		EU265570	
Lonicera henryi				EU240687					FJ217895		EU265481		EU265417		EU265545	
Lonicera fragrantissima				FJ217827					FJ217933		EU265475		EU265411		EU265539	
Lonicera pyrenaica				FJ217832					EU265369		EU265497		EU265433		EU265561	
Lonicera confusa	GQ434222	HM228570		FJ372914		JX073141								HM228528		
Lonicera chrysantha				EU240676					EU265342		EU265470		EU265406		EU265534	
Lonicera standishii				FJ217838					EU265374		EU265502		EU265438		EU265566	
Lonicera acuminata	HM228429	HM228559		FJ217820		HM228473			FJ217942					HM228517		
Lonicera periclymenum	AF542609			FJ217825	GU269254	JN893710			FJ217928	JF431009		JF431013				
Lonicera dasystyla	GQ434223	HM228589		JQ731719		HM228503								HM228545		
Lonicera fulvotomentosa	HM228466	HM228596		FJ774988		JX073139								HM228552		
Lonicera tragophylla				FJ217874	GU269251				EU265377		EU265505		EU265441		EU265569	
Lonicera carnosifolia				EU240675	GU269252				EU265341		EU265469		EU265405		EU265533	
Lonicera hispidula				FJ217855	GU269264				EU265355		EU265483		EU265419		EU265547	
Lonicera etrusca	AY310460			FJ217842	GU269256				EU265345		EU265473		EU265409		EU265537	
Lonicera hirsuta	HQ593350			FJ217821	GU269262	HQ590166	HQ594764	HQ594047	FJ217913					HQ596756		
Lonicera caerulea		GQ245088		EF611050					FJ217912		EU265471		EU265407		EU265535	
Lonicera dioica	FJ745395			GU269247	GU269259				EU265379		EU265507		EU265443		EU265571	
Lonicera hispida	JF954391			EF611047		JF942301			EU265354		EU265482		EU265418	JN045248	EU265546	
Lonicera hypoglauca	HM228431	HM228564		FJ372916		JX073142								HM228522		
Lonicera maximowiczii	FJ745396	GU168709		FJ217878					FJ217925		EU265490		EU265426		EU265554	
Lonicera morrowii			FJ805329	FJ217859	GU269249				FJ217917	JF431006	EU265491	JF431010	EU265427		EU265555	
Lonicera macranthoides	HM228448	HM228574		FJ372919		HM228492		GQ436152						HM228535		
Lonicera involucrata	GU168650	GU168707		GU168629					FJ217932		EU265486		EU265422		EU265550	
Lonicera trichosantha	GQ284980	GQ305438		FJ217866		JF942313			FJ217930					JN045261		
Lonicera nervosa	AF446903	AF446963		EU240699		AF446933			EU265365		EU265493		EU265429		EU265558	
Lonicera orientalis	AJ430196	AJ430980		EU240718		X87389			EU265384		EU265512		EU265448		EU265576	
Lonicera tangutica	GQ284981	GQ305439		GQ268165					EU265375		EU265503		EU265439		EU265567	
Lonicera nigra		GU076480		EU240701					EU265367		EU265495		EU265431	GU076455	EU265559	
Lonicera alpigena		GU076483		FJ217839					EU265339		EU265467		EU265403	GU076458	EU265531	
Lonicera graebneri	GQ284979	GQ305437		FJ217848					EU265349		EU265477		EU265413		EU265541	
Lonicera maackii	GU168651	GU168708	FJ805327	EU240695		DQ006078			FJ217921		EU265489		EU265425	DQ006165	EU265553	
Lonicera rupicola	GQ284978	GQ305436		GQ268162		JF942311			EU265370		EU265498		EU265434	JN045259	EU265562	
Lonicera xylosteum	AM503819	GU076482		EU240723					FJ217902		EU265508		EU265444	GU076457	EU265581	
Lonicera sempervirens	GQ284976	GQ305434		AF265280	GU269261				EU265371	JF431008	EU265499	JF431012	EU265435		EU265563	
Lonicera tatarica	HQ593351	GU076484		EF611058		HQ590167	HQ594765	HQ594048	GU076479		EU265504		EU265440	GU076459	EU265568	
Lonicera japonica				FJ217873		JX073138		GQ436153	EU265359		EU265487		EU265423	GU135313	EU265551	
