taxon	atpB	trnG	rpl16	unknown	26S-ribosomal-RNA	unknown.1	atp1	atpB-rbcL-intergenic-spacer	trnH-psbA-intergenic-spacer	rpoB	ndhF	rpoC1	rps16	contains-tRNA-Leu-and-trnL-trnF-intergenic-spacer	trnK	psbA-trnH-intergenic-spacer	18S-ribosomal-RNA	internal-transcribed-spacer-1,-ITS1	internal-transcribed-spacer-1,-ITS1.1	internal-transcribed-spacer-1,-ITS1.2	unknown.2	trnS	nad5	contains-trnL,-trnL-trnF-intergenic-spacer-region,-and-trnF	sphingolipid-delta-8-desaturase	DEF	matR	rbcL	rps16-trnK-intergenic-spacer	rps4	rbcL.1	trnH-psbA-intergenic-spacer.1	contains-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-and-trnE-trnT-intergenic-spacer	psbD-trnT-intergenic-spacer	ndhF-rpl32-intergenic-spacer	unknown.3	trnT	internal-transcribed-spacer-1,-ITS1.3	trnD-trnT-intergenic-spacer-region	aat	trnS-trnG-intergenic-spacer	trnT-trnL-intergenic-spacer	ndhF.1	psbA-trnH-intergenic-spacer.1	trnH-psbA-intergenic-spacer,-IGS	rpl20-rps12-intergenic-spacer	GLO	petN-psbM-intergenic-spacer,-IGS	Xdh	psbM-trnD-intergenic-spacer,-IGS	trnC-petN-intergenic-spacer,-IGS	
Pelletiera verna						AY855155								AY855126																													AY839990									
Sideroxylon confertum						AM408068																																					AM407941		AM407738							
Sideroxylon borbonicum						AM408064																																					AM407937								AM407796	
Sideroxylon stenospermum						AM408101																																					AM407956		AM407752							
Primula calyptrata													FJ786618	FJ794250	FJ828646																																					
Primula auricula						AM920498																													JQ755618				JQ755533													
Primula efarinosa													FJ786585	FJ794216	FJ828616																																					
Primula celsiiformis													FJ786600	FJ794232	FJ828629																																					
Primula duclouxii															JF955701													JF943639																JN046513								
Primula virginis															JF955789													JF943724																JN046596								
Primula petiolaris			AF402512											AF402392																								AJ491431														
Primula florindae			AF402499			AF396691								AF402379																																						
Primula barbicalyx													FJ786619	FJ794251	FJ828647																																					
Primula cusickiana																																		JQ755569	JQ755612				JQ755527													
Primula sertulum													FJ786572	FJ794203	FJ828604																																					
Primula caldaria													FJ786558	FJ794189	FJ828592																																					
Primula veitchiana	AF213788																											AF213802															AF213759									
Primula grandis						HM629090																							HM628935												HM629005											
