taxon	unknown	rbcL	RPB2	RPB2.1	psbA	rpl32	unknown.1	trnE	rpl16	contains-atpI-gene,-atpI-atpH-spacer-and-atpH-gene	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)	chalcone-synthase	5.8S-ribosomal-RNA	matR	psbC	rbcL.1	atpB	photosystem-II-protein-D1	trnD-trnT-intergenic-spacer;-may-contain-other-tRNA-genes	cox2	nad5	matK	ndhF	CkCS1	ppo	5.8S-ribosomal-RNA.1	
Tutcheria brachycarpa													AF456273														
Tutcheria kwangsiensis											AF499814																
Tutcheria symplocifolia											AY216575																
Schima kankaoensis		AF090342																									
Camellia bailinshanica													FJ432099														
Camellia glabriperulata													EF649683														
Camellia weiningensis													EU579792														
Camellia phaeoclada													FJ432114														
Camellia magnocarpa													EF649686														
Camellia acuticalyx													FJ432095														
Camellia cryptoneura													EF646291														
Camellia ptilosperma													AF315491														
Camellia lucidissima													EF639854														
Camellia achrysantha													AF315496														
Camellia gigantocarpa										AB443612																	
Camellia brevicolumna													EF646293														
Camellia jinshajiangica													FJ432105														
Camellia mairei													FJ432108														
Camellia terminalis													AF315476														
Camellia angustifolia													FJ432097														
Camellia longruiensis													AF315478														
Camellia liberofilamenta													AF315490														
Camellia subacutissima													EU579775														
Camellia grandis													AF315488														
Camellia tenuivalvis													EF646296														
Camellia pingguoensis													AF315475														
Camellia longgangensis													AF315477														
Camellia lanceolata																						AF380075					
Camellia xiashiensis													AF315493														
Camellia oligophlebia													EF646295														
Camellia villosa													EF646283														
Camellia oviformis													EF646292														
Camellia phanae													EU579754														
Camellia hunanica													EU579719														
Camellia obovatifolia													FJ432110														
Camellia crassissima													EF639855														
Camellia azalea													EU579681														
Camellia compressa													EF646284														
Camellia magniflora													EF649684														
Camellia brachygyna													FJ432100														
Camellia hengchunensis													EU579714														
Camellia xifongensis													EU579794														
Camellia tunganica													EF646294														
Camellia rhytidophylla													FJ432117														
Camellia subintegra													EU579776														
Camellia delicata													EU579694														
Camellia fusuiensis													AF315481														
Camellia liberistamina													EF649692														
Camellia mongshanica													EF649687														
Camellia multipetala													AF315471														
Camellia lungshenensis													EF646286														
Camellia parvimuricata													FJ432112														
Pyrenaria garrettiana											AY943278																
Pyrenaria diospyricarpa													AY096019														
Polyspora speciosa		AF380050																				AF380093					
Laplacea portoricensis		AF380046																				AF380089					
Laplacea fruticosa		AF380045																				AF380088					
Laplacea alpestris		AF421093																					AF421061				
Tutcheria maculatoclada											AY216573		AF456276														
Tutcheria kweichowensis											AY216579		AF456275														
Tutcheria wuiana											AY216574		AF456281														
Tutcheria sophiae											AF499816		AY096022														
Tutcheria pingpienensis											AY216572		AF456278														
Tutcheria championi		AF380066																				AF380111					
Tutcheria greeniae											AY216577		AF456274														
Sinopyrenaria yunnanensis													AF456270	AY163730													
Schima noronhae		AF380054																				AF380097					
Schima sinensis											AF499811		AY096020														
Stewartia sichuanensis					HM100527								HM100457														
Stewartia micrantha					HM100521								HM100453														
Stewartia obovata					HM100524								HM100456														
Camellia atrothea												GU722451	EU579680														
Camellia pubifurfuracea												GU722495	EU579762														
Camellia gilbertii												GU722470	FJ432158														
Camellia euryoides												GU722463	FJ432102														
Camellia costei												GU722458	EU579691														
Camellia albogigas		AF380033																				AF380072					
Camellia huana	AF315489						AF331921																				
Camellia yuhsienensis												GU722511	EU579795														
Camellia piquetiana												GU722493	FJ432217														
Camellia omeiensis													EU579747													EU579746	
Camellia fascicularis												AY146700	AF315485														
Camellia transnokoensis												GU722506	EU579783														
Camellia pachyandra												GU722489	FJ432197														
Camellia paucipetala												GU722492	EU579751														
Camellia tuberculata												GU722507	FJ432124														
Camellia longzhouensis	AF315494						AF315495																				
Camellia multiperulata												GU722484	FJ432109														
Camellia parvilimba												GU722491	EU579750														
Camellia gauchowensis												GU722469	EU579708														
Camellia irrawadiensis																AB207874								AB207816			
Camellia phellocapsa													EU579755													EF649689	
Camellia rhytidocarpa												GU722496	EU579763														
Camellia chungkingensis												GU722456	EU579688														
Camellia lutchuensis										AB364668														AB362885			
Camellia waldeniae													EU579791													EU579788	
Camellia szechuanensis												GU722503	EU579777														
Camellia parafurfuracea												GU722490	EU579749														
Camellia edithae												GU722461	EU579695														
Camellia cordifolia												GU722457	EU579690														
Camellia tsaii													EU579784			AB207882											
Camellia wenshanensis												GU722510	EU579793														
Camellia uraku										AB443610			FJ432125														
Glyptocarpa camellioides		AF380041																				AF380083					
Pyrenaria menglaensis												GU722513	AF456266														
Pyrenaria turbinata											AY216567		AF456268														
Pyrenaria kwangsiensis											AY216570		AF456265														
Polyspora tonkinensis											AY216563		AY214933	AY163728													
Tutcheria hirta		AF380067									AY216578											AF380112					
Parapyrenaria multisepala											AY216568		AF456263	AY163742													
Schima sericans					HM100540						HM100608		HM100441														
Stewartia crassifolia					HM100518						HM100593		HM100449														
Stewartia tonkinensis					HM100533						HM100601		HM100463														
Stewartia calcicola								AY070279	AY070293				AY070311														
Stewartia sinii					HM100531						HM100599		HM100460														
Stewartia laotica					HM100520						HM100594		HM100450														
Stewartia cordifolia					HM100517						HM100592		HM100448														
Stewartia rubiginosa					HM100582						HM100644		HM100467														
Camellia vietnamensis										AB364676		GU722509	EF544747														
Camellia ptilophylla													FJ432116											AB207818	DQ513312		
Camellia octopetala										AB443613		GU722487	EU579742														
Camellia fraterna		HQ427224			HQ427067								EU579705														
Camellia microphylla												GU722483	EF544771													EF544767	
Camellia meiocarpa										AB364657		GU722482	EU579737														
Camellia amplexicaulis										AB364664		GU722448	FJ432133														
Camellia leptophylla												GU722480	EU579732													EU579731	
Pyrenaria shinkoensis		AF380068									AY216581											AF380113					
Polyspora hainanensis		AF380049									AY216566		AY214932									AF380092					
Polyspora longicarpa		AF380051									AY214938		AF456264									AF380094					
Gordonia brandegeei								AY070288	AY070306				AY070325									AF380084					
Schima khasiana					HM100537						HM100606		HM100427	AY163740													
Schima remotiserrata		AF380055			HM100539								HM100440									AF380098					
Camellia hekouensis					GQ487345	GQ487405			GQ487375		GQ487435																
Camellia gymnogyna					GQ487344	GQ487404			GQ487374		GQ487434																
Camellia elongata					GQ487338	GQ487398			GQ487368		GQ487428																
Camellia hongkongensis										AB364665		GU722473	EU579717			AB207873											
Camellia pitardii												GU722494	EU579758			AB207877										FJ432115	
Camellia tamdaoensis					GQ487360	GQ487420			GQ487390		GQ487450																
Camellia semiserrata										AB364672		GU722501	EF649688													EU579770	
Camellia fluviatilis											HQ158581	GU722465	EU579702				HQ158544										
Camellia transarisanensis			EU849054	EU849089								GU722505	EU579782														
Camellia murauchii					GQ487353	GQ487413			GQ487383		GQ487443																
Camellia longissima					GQ487351	GQ487411			GQ487381		GQ487441																
Camellia wardii					GQ487362	GQ487422			GQ487392		GQ487452																
Camellia crassiphylla					GQ487337	GQ487397			GQ487367		GQ487427																
Camellia polyodonta										AB443615	HQ158583		EF646285				HQ158546										
Polyspora chrysandra		AF380048									AF499806		AY096017	AY163741								AF380091					
Schima wallichii		AF380056			HM100543						HM100611		HM100444									AF380100					
Schima argentea		AF380053			HM100536						HM100604		HM100437									AF380096					
Stewartia rostrata					HM100578			AY070284	AY070302		HM100650		HM100499														
Camellia limonia					GQ487349	GQ487409			GQ487379		GQ487439		AF315479														
Camellia grijsii										AB364673	HQ158587	GU722472	EU579712				HQ158550										
Camellia parvipetala					GQ487356	GQ487416			GQ487386		GQ487446		AF315482														
Camellia kwangsiensis					GQ487347	GQ487407			GQ487377		GQ487437		FJ432106														
Camellia flavida					GQ487341	GQ487401			GQ487371		GQ487431		AF315480														
Camellia saluenensis										AB364671		GU722499	HM061331			AB207879										HM061337	
Camellia salicifolia											HQ158572	GU722498	EU579765			AB207878	HQ158535										
Camellia longipedicellata					GQ487350	GQ487410			GQ487380		GQ487440		FJ432185														
Camellia crapnelliana										AB443611	HQ158573	GU722459	EU579692				HQ158536										
Pyrenaria oblongicarpa					GQ487364	GQ487424			GQ487394		GQ487454		AF456267														
Apterosperma oblata								AY070287	AY070305		AF499803		AY096012	AY163755			HQ158556										
Tutcheria microcarpa		HQ427231			HQ427074						AY216571		AF456277				HQ158529					HQ427376					
Tutcheria spectabilis					GQ487365	GQ487425			GQ487395		AY216569		AF456280	AY163743													
Gordonia lasianthus		AF380042			HM100515						AY214936		HM100446	AY163735								AF380085					
Stewartia ovata					HM100570			AY070282	AY070299		AF499812		HM100490									AF380103					
Camellia caudata										AB443617	HQ158585	GU722453	EU579678			AB207870	HQ158548										
Camellia flava					GQ487340	GQ487400			GQ487370		GQ487430	GU722464	FJ432152														
Camellia forrestii					GQ487342	GQ487402			GQ487372		GQ487432	GU722467	EU579703														
Camellia taliensis		AF380052				JX161644				AB364663			FJ432122			AB207881						AF380095					
Camellia reticulata					GQ487358	GQ487418			GQ487388		GQ487448		JX500471													JX500465	
Camellia micrantha					GQ487352	GQ487412			GQ487382		HQ158565		AF315484				HQ158528										
Camellia cuspidata		HQ427225			HQ427068							GU722460	EU579693			AB207871						HQ427370					
Camellia lawii					GQ487348	GQ487408			GQ487378		GQ487438	GU722479	EU579730														
Camellia pubipetala	AF315472				GQ487357	GQ487417	AF315473		GQ487387		GQ487447																
Camellia chrysanthoides					GQ487336	GQ487396			GQ487366		HQ158589		AF315483				HQ158552										
Stewartia monadelpha		AF380058			HM100564			AY070281	AY070297		HM100627		AF431934									AF380102					
Stewartia malacodendron		AF380057			HM100559			AY070280	AY070295		HM100624		AF431944									AF380101					
Stewartia sinensis		AF380061			HM100555			AY070286	AY070304		HM100631		AY096021									AF380106					
Stewartia villosa		AF380043			HM100534			AY070277	AY070289		HM100602		HM100454									AF380086					
Camellia euphlebia					GQ487339	GQ487399			GQ487369		GQ487429	GU722462	FJ432144													EF544737	
Camellia brevistyla			EU849055	EU849090						AB364670	HQ158568	GU722452	HM061476				HQ158531										
Camellia kissii										AB364675	HQ158561	GU722477	EU579726			AB207876	HQ158524							AB362884			
Camellia tunghinensis					GQ487361	GQ487421			GQ487391		GQ487451	GU722508	FJ432226													FJ432222	
Camellia yunnanensis					GQ487363	GQ487423			GQ487393		GQ487453	GU722512	FJ432239													FJ432232	
Camellia sasanqua		AF380036								AB364659		GU722500	EF544755			AB207880						AF380076				FJ432120	
