taxon	26S-large-subunit-ribosomal-RNA	trnL	matK	atpE	rps16	rps4	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	rpl16	ndhF	rbcL	trnH-K1-intergenic-spacer	unknown	psbB	trnK	18S-ribosomal-RNA	atpB	rpoC2	cox1	atp1	petN	rpoB-trnC-intergenic-spacer	
Griselinia ruscifolia							GQ243848	GQ244117			AJ536850											
Griselinia carlomunozii		AJ536854									AJ536845	AJ536579										
Griselinia jodinifolia		AJ537454									AJ536846	AJ536580										
Griselinia scandens		AJ537461									AJ536853	AJ536586										
Oubanguia alata		DQ418034							DQ388165									GU321962				
Napoleona vogelii		DQ418033							DQ388164									GU321910				
Argophyllum laxum						GQ983958							GQ983758				GQ983844					
Corokia macrocarpa						GQ983927							GQ983762				GQ983813					
Diervilla rivularis		AJ430981	AJ429392	AJ429738	AJ431105																	
Quintinia quatrefagesii						GQ983922							GQ983727		GQ983576	AJ318983	GQ983805					
Melanophylla alnifolia	AY189085						GQ243851	GQ244147	AJ236244						AJ236002							
Griselinia racemosa		AJ537458								AF307915	AJ536849	AJ536583							EU281012			
Leycesteria crocothyrsos		GU168704	FJ745393											FJ745406						EU265584	EU265456	
Aralidium pinnatifidum	AY189036	AJ430083		AJ429718	AJ431083		GQ243852	GQ244148	AJ429126	AF299087												
Torricellia tiliifolia	AY189113	AJ430961		AJ429721	AJ431087	GQ983936	GQ243853	GQ244149	AJ429127	AF299089												
Quintinia verdonii		AJ430953	AJ429366	AJ429712	AJ431077				AJ238344							AJ419681			GU351099			
Griselinia lucida	AY189071	AJ537456	U58628				GQ243847	GQ244116	AF130205	L11225	AJ536848	DQ499122			AF206922	AF209595						
Pennantia cunninghamii			AJ494845	GQ984122		GQ983908	GQ243845	GQ244127	AJ312970	AJ494843		DQ499121	GQ983775		GU476406	AJ494841						
Sphenostemon lobosporus		GQ984044	GQ983660	GQ984086	GQ983981	GQ983919			GQ983668							GQ983631	GQ983826		GU351116			
Pennantia corymbosa	AY189099	GQ984043	AY188404				GQ243844	GQ244126	AJ312949	AY188432		DQ499120			GU476405	AJ494840						
Paracryphia alticola		AJ430392	AJ429367	AJ429713	AJ431078	GQ983900			AJ429121				GQ983689		GQ983571	AJ419679			GU351078			
Griselinia littoralis		AJ537455	AJ429372	AJ429719		GQ983944	GQ243846	GQ244115		AF307916	AJ536847	AJ536581	GQ983737		AJ236000	AJ236213			GU351030			
Leycesteria formosa		AF446962	HM850976	GQ984114	GQ984000	GQ983881			AF447022				GQ983767	FJ745405		GQ983636	GQ983827			GQ285018	EU265457	
Diervilla sessilifolia		AF446967	AF446907			GQ983968			AF060164				GQ983692	FJ745402		GQ983617	GQ983799	EF121458				
Linnaea borealis		AJ430983	JN966357	AJ429740	AJ431107	GQ983907			AF060166				GQ983766	AY290040		GQ983619	GQ983804	EF121465				
Heptacodium miconioides		AF446966	GQ284983	GQ984127	GQ984004	GQ983917			AF283509				GQ983724	FJ745412		GQ983604	GQ983878	EF121462		GQ285025	EU265454	
Kolkwitzia amabilis		AF446972	AF446912	GQ984116	GQ983989	GQ983959			HQ693960				GQ983746	GU168674		GQ983600	GQ983865	EF121463		EU265583	EU265455	
