taxon	psbA	5.8S-ribosomal-RNA	rbcL	matK	trnK	rpl32	trnC-ycf6-intergenic-spacer	GBSSI	GBSSI.1	rpoB	rpoC1	
Viburnum formosanum	JQ805370	JQ805218	JQ805458									
Viburnum glomeratum	JQ805299	JQ805154				JQ805473						
Viburnum fordiae	JN047522		JF944789	JF956803								
Viburnum antioquiense	JQ805308	JQ805161	JQ805398			JQ805480						
Viburnum inopinatum	HQ592079		JQ805447	HQ591590			HQ592141					
Viburnum acutifolium	JQ805307	JQ805160	JQ805397	JQ805237								
Viburnum treleasei		HM563784	HM850455	HM850978	EF445122							
Viburnum lancifolium	JQ805373		JQ805460		JQ805612	JQ805540						
Viburnum taitoense	JQ805364	JQ805214	JQ805452			JQ805533						
Viburnum microcarpum	JQ805327	JQ805178	JQ805414			JQ805496						
Viburnum amplificatum	HQ592058	HQ591949	JQ805448			HQ591865						
Viburnum chingii	HQ592069	HQ591958	HQ591712			HQ591876	HQ592120					
Viburnum brevipes	JQ805366		JQ805454	JQ805283	JQ805608	JQ805535						
Viburnum ayavacense	JQ805309	JQ805162	JQ805399	JQ805238	JQ805561							
Viburnum brachybotryum	HQ592064	HQ591954			HQ591787			EF490292	EF490303			
Viburnum venustum	JQ805355	JQ805206	JQ805441	JQ805278		JQ805525						
Viburnum australe	JQ805304	JQ805157	JQ805394	JQ805235	JQ805558							
Viburnum costaricanum		JQ805164	JQ591039	JQ587216	JQ805564	JQ805482						
Viburnum corymbiflorum	HQ592072	HQ591961		HQ591573		HQ591882	HQ592126					
Viburnum undulatum	JQ805354	JQ805205	JQ805440	JQ805277		JQ805524						
Viburnum scabrellum	JQ805338	JQ805190		JQ805262	JQ805586	JQ805508						
Viburnum koreanum	HQ592081	EF462983			EF490246			EF490294	EF490305			
Viburnum sulcatum	HQ592099	HQ591980		HQ591628	HQ591812	HQ591935	HQ592175					
Viburnum seemanii	JQ805341	JQ805191	JQ805426	JQ805263	JQ805588	JQ805511						
Viburnum ciliatum	JQ805310	JQ805163	JQ805401	JQ805240	JQ805563	JQ805481						
Viburnum caudatum	HQ592068	HQ591957			HQ591790	HQ591875	HQ592119					
Viburnum divaricatum	JQ805320	JQ805171	JQ805407	JQ805244	JQ805570	JQ805488						
Viburnum pichinchense	JQ805336	JQ805188	JQ805424	JQ805260	JQ805581	JQ805502						
Viburnum parvifolium	JQ805375	JQ805222	JQ805461	JQ805288	JQ805613	JQ805542						
Viburnum obtusatum	JQ805331	JQ805183	JQ805419	JQ805256	JQ805579	JQ805501						
Viburnum hallii	JQ805321	JQ805174	JQ805413	JQ805249	JQ805575	JQ805491						
Viburnum villosum	JQ805357	JQ805207	JQ805443	JQ805280	JQ805600	JQ805526						
Viburnum integrifolium	JQ805371	JQ805219	JQ805459	JQ805287	JQ805611	JQ805538						
Viburnum cotinifolium	GQ248401		GQ248707	GQ248211						GQ248872	EF590665	
Viburnum sempervirens	HQ592095	HQ591976	HQ591764	HQ591623	HQ591809	HQ591930	HQ592170					
Viburnum discolor	HQ592073	JQ805166	JQ805403	HQ591576	HQ591793	HQ591886	HQ592130					
Viburnum bracteatum	HQ592065		HQ591708	HQ591564		HQ591871	HQ592115					
Viburnum edule	AY627393	AY265123	HQ591720	HQ591577	AY265169			AY596837				
Viburnum adenophorum	HQ592057	HQ591948	HQ591702	HQ591558	HQ591781	HQ591864	HQ592109					
Viburnum betulifolium	JN047484	JF978995	JQ805453	HQ591561	HQ591784	JQ805534	HQ592112					
Viburnum blandum	HQ592062	HQ591952	HQ591706	HQ591562	HQ591785	HQ591869	HQ592113					
Viburnum oliganthum	HQ592088	HQ591971	HQ591751	HQ591610	HQ591804	HQ591917	HQ592158					
Viburnum colebrookeanum	HQ592070	HQ591959	HQ591715	HQ591570	HQ591791	HQ591879	HQ592123					
Viburnum loeseneri	HQ592084	HQ591968	HQ591742	HQ591601	HQ591801	HQ591908	HQ592150					
Viburnum davidii	AY627390	AY265120			AY265166	JQ805544		AY596835				
Viburnum subalpinum	HQ592098	HQ591979	HQ591768	HQ591627	HQ591811	HQ591934	HQ592174					
Viburnum rigidum	HQ592093	HM563797	HQ591760	HQ591619	HQ591807	HQ591926						
Viburnum flavescens	HQ592074	HQ591962	HQ591726	HQ591583	HQ591794	HQ591891						
Viburnum awabuki	JN047525	JF979016	JF944792	HQ591560	HQ591783	JQ805531	HQ592111					
