taxon	matK	DIV3B	5.8S-ribosomal-RNA	LFY	rbcL	trnL	atpF	rpoc1	trnS-trnG-intergenic-spacer	CYC2B	rpoB-trnC-intergenic-spacer	CYC2A	psbM-trnD-intergenic-spacer	trnL.1	trnH	atpB-rbcL-intergenic-spacer	
Lonicera stabiana				GU269253													
Lonicera microphylla			EF611046														
Lonicera prostrata			EF611055														
Lonicera altmannii			EF462216														
Lonicera vidalii														FJ592192			
Lonicera floribunda			FJ217852						FJ217910								
Lonicera ciliosa				GU269263					FJ217907								
Lonicera steveniana			FJ217849						FJ217936								
Lonicera oblongifolia			FJ217823						FJ217884								
Lonicera flava			FJ217875						FJ217943								
Lonicera caprifolium				GU269250					FJ217891								
Lonicera demissa			FJ217879						FJ217927								
Lonicera interrupta				GU269266					FJ217909								
Lonicera korolkowii			FJ217860						FJ217938								
Lonicera tomentella			FJ217880						FJ217941								
Lonicera obovata			FJ217847						FJ217904								
Lonicera oresbia			FJ217882						FJ217920								
Lonicera myrtilloides			FJ217868						FJ217916								
Lonicera quinquelocularis			FJ217834						FJ217940								
Lonicera ledebourii			FJ217840						FJ217885								
Lonicera lanceolata			FJ217841						FJ217924								
Lonicera pilosa			GU269248						FJ217900								
Lonicera cyanocarpa			FJ217854						FJ217923								
Lonicera serreana			FJ217837						FJ217931								
Lonicera setifera			FJ217844						FJ217929								
Lonicera subspicata			FJ217843	GU269265					FJ217915								
Lonicera heteroloba									FJ217890	AY851203		AY851202					
Lonicera arizonica			FJ217881	GU269260					FJ217934								
Lonicera implexa			FJ217861	GU269255					FJ217897								
Lonicera webbiana	JF954403				JF942316										JN045264		
Lonicera canadensis	HQ593349				HQ590165		HQ594763	HQ594046									
Lonicera albiflora			FJ217862	GU269257	JN796941				FJ217893								
Lonicera reticulata		FJ805331		GU269258	AJ420870							AY851204					
Lonicera gynochlamydea			FJ217869						EU265351		EU265479		EU265415			EU265542	
Lonicera nitida			EU240717						EU265383		EU265511		EU265447			EU265575	
Lonicera vesicaria			FJ217877						EU265378		EU265506		EU265442			EU265570	
Lonicera similis	HM228463		FJ372926		HM228507	HM228593									HM228549		
Lonicera ferdinandi			FJ217858						EU265346		EU265474		EU265410			EU265538	
Lonicera subsessilis			EU240721						FJ217922		EU265515		EU265451			EU265579	
Lonicera modesta			FJ217835						EU265382		EU265510		EU265446			EU265574	
Lonicera deflexicalyx			EU240678						FJ217888		EU265472		EU265408			EU265536	
Lonicera ruprechtiana			EF611054						FJ217905		EU265514		EU265450			EU265578	
Lonicera henryi			EU240687						FJ217895		EU265481		EU265417			EU265545	
Lonicera fragrantissima			FJ217827						FJ217933		EU265475		EU265411			EU265539	
Lonicera pyrenaica			FJ217832						EU265369		EU265497		EU265433			EU265561	
Lonicera iberica			EU240690						EU265356		EU265484		EU265420			EU265548	
Lonicera gracilipes			FJ217857						EU265348		EU265476		EU265412			EU265540	
Lonicera myrtillus			FJ217856						FJ217894		EU265492		EU265428			EU265556	
Lonicera giraldii			EU240694						FJ217908		EU265488		EU265424			EU265552	
Lonicera acuminata	HM228429		FJ217820		HM228473	HM228559			FJ217942						HM228517		
Lonicera sovetkinae			FJ217864						EU265372		EU265500		EU265436			EU265564	
Lonicera confusa	HM228440		FJ372914		HM228485	HM228570									HM228528		
Lonicera inconspicua			FJ217867						EU265357		EU265485		EU265421			EU265549	
Lonicera pileata			EU240702						FJ217926		EU265496		EU265432			EU265560	
Lonicera koehneana			FJ217853						EU265385		EU265513		EU265449			EU265577	
Lonicera standishii			FJ217838						EU265374		EU265502		EU265438			EU265566	
Lonicera syringantha			EF611053						EU265388		EU265516		EU265452			EU265580	
Lonicera hemsleyana			FJ217826						FJ217903		EU265480		EU265416			EU265544	
Lonicera calcarata			EU240674						EU265340		EU265468		EU265404			EU265532	
Lonicera chrysantha			EU240676						EU265342		EU265470		EU265406			EU265534	
Lonicera spinosa			FJ217870						EU265373		EU265501		EU265437			EU265565	
Lonicera dasystyla	HM228459		JQ731719		HM228503	HM228589									HM228545		
Lonicera hispidula			FJ217855	GU269264					EU265355		EU265483		EU265419			EU265547	
Lonicera hirsuta	HQ593350		FJ217821	GU269262	HQ590166		HQ594764	HQ594047	FJ217913								
Lonicera periclymenum	JN896210		FJ217825	GU269254	JN893710				FJ217928	JF431013		JF431009					
Lonicera fulvotomentosa	HM228466		FJ774988		HM228510	HM228596									HM228552		
Lonicera tragophylla			FJ217874	GU269251					EU265377		EU265505		EU265441			EU265569	
Lonicera carnosifolia			EU240675	GU269252					EU265341		EU265469		EU265405			EU265533	
Lonicera etrusca	AY310460		FJ217842	GU269256					EU265345		EU265473		EU265409			EU265537	
Lonicera dioica	FJ745395		GU269247	GU269259					FJ217892		EU265507		EU265443			EU265571	
Lonicera caerulea			EF611050			GQ245088			FJ217912		EU265471		EU265407			EU265535	
Lonicera maximowiczii	GU168652		FJ217878			GU168709			FJ217925		EU265490		EU265426			EU265554	
Lonicera hypoglauca	HM228431		FJ372916		JF942303	HM228564									HM228522		
Lonicera hispida	JF954391		EF611047		JF942301				EU265354		EU265482		EU265418		JN045248	EU265546	
Lonicera trichosantha	GQ284980		FJ217866		JF942313	GQ305438			FJ217930						JN045261		
Lonicera nervosa	AF446903		EU240699		AF446933	AF446963			EU265365		EU265493		EU265429			EU265558	
Lonicera involucrata	FJ745397		GU168629			GU168707			FJ217932		EU265486		EU265422			EU265550	
Lonicera orientalis	AJ430196		EU240718		X87389	AJ430980			EU265384		EU265512		EU265448			EU265576	
Lonicera macranthoides	HM228448		FJ372919		HM228492	HM228574		GQ436152							HM228535		
Lonicera morrowii		FJ805329	FJ217859	GU269249					FJ217917	JF431010	EU265491	JF431006	EU265427			EU265555	
Lonicera nigra			EU240701			GU076480			GU076475		EU265495		EU265431		GU076455	EU265559	
Lonicera graebneri	GQ284979		FJ217848			GQ305437			EU265349		EU265477		EU265413			EU265541	
Lonicera tangutica	GQ284981		GQ268165			GQ305439			EU265375		EU265503		EU265439			EU265567	
