taxon	trnK	ycf5	trnC-petN-intergenic-spacer	rbcL	trnS-trnG-intergenic-spacer	rpoB	rpoC1	trnH-psbA-intergenic-spacer	matR	trnL-trnF-intergenic-spacer	ndhF	atpB	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	5.8S-ribosomal-RNA	rbcL.1	
Diospyros humilis				JQ667289												
Diospyros ellipticifolia				JF738970												
Diospyros tesselaria													JF804896			
Diospyros hebecarpa				JF738575												
Diospyros peekelii				JF738519												
Diospyros lolin				JF739048												
Lissocarpa tetramera	DQ924081												DQ924298			
Diospyros rhodocalyx	AB174998													AB175017		
Diospyros villosa	JF270744			JF265392												
Diospyros xishuangbannaensis	GU471720			GU471703												
Diospyros tutcheri	GU471718			GU471701												
Diospyros nigrocortex	GU471722			GU471705												
Diospyros dumetorum									AF520202				AF534665			
Diospyros discolor	AB174985													AB175004		
Diospyros miaoshanica	GU471719			GU471702												
Diospyros kuroiwai	AB174991													AB175010		
Diospyros salicifolia	JQ587409			JQ591338												
Diospyros argentea	GU471721			GU471704												
Diospyros rubra	AB175000													AB175019		
Euclea daphnoides	JF270771														JF265422	
Lissocarpa ronliesneri	DQ924080											DQ923972	DQ924297			
Diospyros zenkeri	FJ238140		FJ238182					FJ238225								
Diospyros oleifera	AB174997			GU471696										AB175016		
Diospyros morrisiana	HQ427383			HQ427240				HQ415533								
Diospyros eriantha	HQ415355			HQ415185				HQ415534								
Diospyros chamaethamnus			FJ238177					FJ238220		FJ238263						
Diospyros cathayensis	GU471717			GU471700										FJ624404		
Diospyros batocana			FJ238176					FJ238219		FJ238262						
Diospyros rabiensis	FJ238147		FJ238189					FJ238232		FJ238275						
Diospyros viridicans	FJ238150		FJ238192					FJ238235		FJ238278						
Diospyros austroafricana	FJ238123		FJ238164					FJ238206		FJ238249						
Diospyros scabrida	FJ238129		FJ238170					FJ238212		FJ238255						
Diospyros monbuttensis	FJ238145		FJ238187					FJ238230		FJ238273						
Euclea pseudebenus	FJ238119		FJ238159					FJ238201		FJ238244						
Euclea tomentosa			FJ238162					FJ238204		FJ238247	FJ238289					
Diospyros loureiriana	FJ238127		FJ238168					FJ238210		FJ238253	FJ238294					
Diospyros kirkii	FJ238132		FJ238172					FJ238215		FJ238258	FJ238297					
Diospyros duclouxii	FJ238141		FJ238183					FJ238226		FJ238269	FJ238305					
Diospyros dendo	FJ238144		FJ238186					FJ238229		FJ238272	FJ238308					
Diospyros calciphila	EU980940			EU980659	EU981074							EU980817	EU981002			
Diospyros iturensis	FJ238137		FJ238179					FJ238222		FJ238265	FJ238302					
Diospyros malabarica	FJ238151		FJ238193					FJ238236		FJ238279	FJ238312					
Diospyros fischeri	FJ238125		FJ238166					FJ238208		FJ238251	FJ238292					
Diospyros transitoria	GQ248122	AM890007		GQ248596		GQ248770	AM889884									
Diospyros soubreana	FJ238148		FJ238190					FJ238233		FJ238276	FJ238310					
Diospyros rotundifolia	FJ238135		FJ238175					FJ238218		FJ238261	FJ238300					
Diospyros crassiflora	FJ238136		FJ238178					FJ238221		FJ238264	FJ238301					
Euclea schimperi	FJ238121		FJ238161					FJ238203		FJ238246	FJ238288					
Lissocarpa benthamii	DQ924077			EU980793	EU981208						AY725877	DQ923969	DQ924294			
Lissocarpa kating	DQ924079			EU980795	EU981210						DQ924189	DQ923971	DQ924296			
Tetraclis baroni	DQ924088			EU980803	EU981218						DQ924196	DQ923979	DQ924305			
Diospyros mindanaensis	DQ924040			EU980713	EU981128						DQ924150	DQ923933	DQ924257			
Diospyros oblonga	DQ924044			EU980719	EU981134						DQ924154	DQ923937	DQ924261			
Diospyros apiculata	EU980936			EU980647	EU981062						EU980876	EU980813	EU980998			
Diospyros fulvopilosa	DQ924022			EU980692	EU981107						DQ924132	DQ923915	DQ924239			
Diospyros pentamera	DQ924046			EU980729	EU981144						DQ924156	DQ923939	DQ924263			
