taxon	contains-partial-psbT-gene,-psbT-psbH-intergenic-spacer-and-partial-psbH-gene	rps16	rpoC1	unknown	matK	26S-ribosomal-RNA	rbcL	trnF	psbA	psbA.1	trnL	ndhA	ndhF	atpB	18S-RNA-gene	rpoB	trnS(GCU)-trnG(UCC)-intergenic-spacer	
Deutzia discolor											AY285690							
Deutzia gracilis							L11181											
Deinanthe caerulea					GU217272													
Dichroa yunnanensis					GU217315													
Dichroa versicolor					GU217319													
Dichroa hirsuta					GU217317													
Hydrangea lingii										HM216979								
Hydrangea linkweiensis										HM216980								
Hydrangea caudatifolia										HM216970								
Hydrangea glabripes					GU217294													
Hydrangea asterolasia										HM216968								
Hydrangea zhewanensis										HM216997								
Hydrangea coacta										HM216973								
Hydrangea lobbii					GU217330													
Hydrangea indochinensis					GU217312													
Decumaria sinensis							AF190443											
Schizophragma integrifolium										HM217002								
Schizophragma fauriei					GU217280													
Philadelphus purpurascens							AF323195											
Hydrangea longipes					GU217292					HM216981								
Hydrangea liukiuensis				AB377199													AB377066	
Hydrangea serratifolia					GU217300					HM216992								
Hydrangea scandens					GU217328					HM216989								
Hydrangea yayeyamensis				AB377208													AB377079	
Hydrangea grosseserrata				AB377202													AB377074	
Hydrangea chungii					GU217332					HM216972								
Hydrangea kawagoeana				AB377205													AB377076	
Hydrangea sikokiana					GU217291					HM216993								
Hydrangea strigosa					GU217297					HM216994								
Philadelphus caucasicus						AY260037	AF323194											
Deutzia glauca										FJ464413	FJ464414						FJ464415	
Deutzia ningpoensis										FJ185219	FJ185218						FJ185220	
Hydrangea davidii					JF954070		JF941960			JN044925								
Philadelphus inodorus					JF308693			JF321188	JF321263									
Philadelphus hirsutus					U96881	AY260036	AF323193											
Cardiandra moellendorffii					GU217270					HE983385		HE983585						
Cardiandra formosana					AB236027		AB236035										AB236042	
Cardiandra amamiohsimensis					AB236024		AB236032										AB236039	
Hydrangea heteromalla				JF976655	GU217275		JF941962			HM216975								
Hydrangea hirta					AB754587		AB755675			HM216976	AY254248							
Hydrangea xanthoneura			GQ248956		GQ248139		GQ248623			EF590703						EF590454		
Kirengeshoma koreana					GU369712		JQ399976		JQ399988				JQ399972	JQ399960				
Philadelphus lewisii						AF389252	L11198						AJ236254	AJ236231	AJ235984			
Hydrangea petiolaris		AB237317		GU983032	AB754589		AB755677			HM216986	JN226773							
Deutzia corymbosa					JF308686	JF321108	JF308657	JF321177	JF321252				JF321082	JF298848				
Deutzia setchuenensis					JF308687	JF321109	JF308658	JF321178	JF321253				JF321083	JF298849				
Deutzia scabra					JF308685	JF321107	JF308656	JF321176	JF321251				JF321081	JF298847				
Fendlerella utahensis					JF308689	AY260035	AF323198	JF321182	JF321257				JF321086	AJ400885				
Broussaisia arguta					JF308681	AY260039	AF323188	JF321172	JF321246				AJ400891	JF298845				
